video_id,title,description,channel,published_at,url,sentiment,comment_sample
m3LOwfXnWj8,DJ CEK SOUND TERBARU 2025 FULL BASS HOREG 200JUTA MIDLE BRUTAL AMUNISI KARNAVAL TERBARU (MHLS PRO),DJ CEK SOUND TERBARU 2025 FULL BASS HOREG 200JUTA MIDLE BRUTAL AMUNISI KARNAVAL TERBARU (MHLS PRO) ...,MHLS PRODUCTION,2025-10-03T12:20:01Z,https://www.youtube.com/watch?v=m3LOwfXnWj8,Pro,"['Absen kota lur 👇😊', 'Gorontalo Utara', 'Blitar hadir boss qu \nMantep bass nya', 'jakarta timur hadirr', 'speakerku ga kuat lur']"
1v4lpqMsJa0,Sound horeg emak #nabeldanmama,,Nabel Dan Mama,2025-09-04T11:03:01Z,https://www.youtube.com/watch?v=1v4lpqMsJa0,Netral,"['Mama Nia kiti baik bangat', '🔥🔥🔥🔥🔥🎉🎉🔥🔥🔥🎉🔥🔥🔥', '😊😊😊', '😢nt😂😮', '😢y Yukki']"
Hspe5bel98g,SOND HOREG KECELAKAAN! Truk Sound Horeg Terjebur Sungai #soundhoreg #disaster #kecelakaan #trukoleng,"Ketika bencana datang tanpa peringatan, hanya pengetahuan yang bisa menyelamatkan. Video ini dibuat menggunakan ...",ShortDisaster,2025-08-09T01:00:30Z,https://www.youtube.com/watch?v=Hspe5bel98g,Pro,"['Haha baju kuning ga ada paniknya tetep joget😅', 'Editor AI', 'Nooooooo😢', 'AI cukkk😂😂', 'Semakin di benci,sound horeg semakin terkenal keluar negri,salam satu hobi']"
pkWxn2Sa4DE,TERJEBUR SUNGAI!!! Truk Sound horeg oleng terjebur Sungai #disaster #soundhoreg #trukoleng #audio,,ShortDisaster,2025-07-06T01:00:54Z,https://www.youtube.com/watch?v=pkWxn2Sa4DE,Pro,"['😂😂😂😂😂😂😂😂😂😂😂😂😂', 'Sangat² menyenangkan banyak orang', '😂😂😂😢😢😢😢', '😂😂😂😂😅😅😅', 'Jelah banget Al nya 😂😂']"
6DBzhTPWtLc,Mas Edi Sound penemu Sound Horeg Beraksi..🗿,,ALI ID,2025-07-28T09:57:53Z,https://www.youtube.com/watch?v=6DBzhTPWtLc,Pro,"['Asik bet jir', '😂😂😂😂😂', 'Kalo ujan gimana mindahin speaker nya😅', '😉🥳👍✅☑️', 'Что за песня?']"
ibyTl983xQg,DJ AKU SUKA NONTON SOUND HOREG FULL BASS ‼️ DJ YANG BIKIN SOUND JEBOL ‼️VIRAL TIKTOK‼️,DJ AKU SUKA NONTON SOUND HOREG FULL BASS ‼️ DJ YANG BIKIN SOUND JEBOL ‼️VIRAL TIKTOK‼️ DJ AKU SUKA ...,DJ RONY RMX OFFICIAL,2025-09-06T12:01:31Z,https://www.youtube.com/watch?v=ibyTl983xQg,Pro,"['Suara nya bagus banget dan soun nya besar mantap😂', '❤❤❤', '😊❤wow', 'Abang aku namanya akmal', 'Menayal abang ku ,,🔥🔥🔥🎊🎉🎉🎉🐚🐚🤳🏿🤙🏿🤙🏿🤙🏿🤙🏿 3:23']"
epae_1-tm5Y,Penemu sound horeg mas Thomas Alfa edi Sound #animasi #horeg #soundhoreg #ucup,,Aco' Daily,2025-07-30T11:17:32Z,https://www.youtube.com/watch?v=epae_1-tm5Y,Pro,"['itu  mukanya kayak panda 😅😅', 'Waduh 🗿', 'nama lagu ap', 'Sovnd horregr matap😢😢🎉🎉🎉🎉😢😢😢😮😮😅😅😅😅', 'mantap']"
mHT29ylfOWs,Sound Horeg baru punya kenzy,,akukenz chanel,2025-03-30T00:30:33Z,https://www.youtube.com/watch?v=mHT29ylfOWs,Pro,"['lu kira lu doang puny', 'Tapi aku bukan terciptanya tapi aku diundang sama sound horeg', 'beli dmn dek ak juga mau beli😊', '😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣', 'Sound busuk😂😂']"
ayKZ6zh_nyQ,ngasih pelajaran sound horeg #komedi #lucu,,Mister Sarimen,2025-08-22T08:08:48Z,https://www.youtube.com/watch?v=ayKZ6zh_nyQ,Pro,"['Teruslah jadi inspirasi buat banyak orang ya! 𝐓𝐈𝐌𝐎𝟒𝐃', 'Suka banget sama𝐓𝐈𝐌𝐎𝟒𝐃! Platformnya gampang dipake! 🎉', '❄️𝐓𝐈𝐌𝐎𝟒𝐃 ❄️ adalah magnet rezeki dan keberhasilan!', 'Semangat terus ya kak! 𝗧𝗶𝗺𝗼𝟰𝗗', '01:12 Wow,𝐓𝐈𝐌𝐎𝟒𝐃 keren! Pengen share ke temen! 🔥']"
CfFmzDiQXtk,#ceksoundhoreg #ceksound #sound #soundsystem #soundhoreg #horeg#karnaval #karnavalhoreg #dj #djhoreg,,Crew Ghopro Audio,2025-04-20T22:34:45Z,https://www.youtube.com/watch?v=CfFmzDiQXtk,Pro,"['Ini yang gua cari!', 'ini di jenu kah', 'ini di jenu kah', 'Lebih bagusan itu lebih bagusan mainan gua lah', 'JANGAN    SOMBONG']"
